time_step,datetime,node,product,price,buy_qty,sell_qty,commitment_mw,pnl
864,2024-02-05 23:00:00,TH_SP15_GEN-APND,Spin,0.91,0.0,0.0,0.944271909999158,0.8592874380992338
864,2024-02-05 23:00:00,TH_SP15_GEN-APND,RegDown,4.64,0.0,0.0,10.0,46.4
864,2024-02-05 23:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
865,2024-02-06 00:00:00,TH_SP15_GEN-APND,SP15,48.19432,0.0,0.0,0.0,0.0
865,2024-02-06 00:00:00,TH_SP15_GEN-APND,RegUp,2.98022,0.0,0.0,0.944271909999158,2.814138031617691
865,2024-02-06 00:00:00,TH_SP15_GEN-APND,Spin,0.4,0.0,0.0,0.944271909999158,0.37770876399966324
865,2024-02-06 00:00:00,TH_SP15_GEN-APND,RegDown,4.22,0.0,0.0,10.0,42.199999999999996
865,2024-02-06 00:00:00,TH_SP15_GEN-APND,NonSpin,0.4,0.0,0.0,0.944271909999158,0.37770876399966324
866,2024-02-06 01:00:00,TH_SP15_GEN-APND,SP15,43.64195,0.0,0.0,0.0,0.0
866,2024-02-06 01:00:00,TH_SP15_GEN-APND,RegUp,1.69753,0.0,0.0,0.944271909999158,1.6029298953808706
866,2024-02-06 01:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
866,2024-02-06 01:00:00,TH_SP15_GEN-APND,RegDown,4.21,0.0,0.0,10.0,42.1
866,2024-02-06 01:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
867,2024-02-06 02:00:00,TH_SP15_GEN-APND,SP15,43.41228,0.0,0.0,0.0,0.0
867,2024-02-06 02:00:00,TH_SP15_GEN-APND,RegUp,1.73448,0.0,0.0,0.944271909999158,1.6378207424553395
867,2024-02-06 02:00:00,TH_SP15_GEN-APND,Spin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
867,2024-02-06 02:00:00,TH_SP15_GEN-APND,RegDown,4.31019,0.0,0.0,10.0,43.1019
867,2024-02-06 02:00:00,TH_SP15_GEN-APND,NonSpin,0.35,0.0,0.0,0.944271909999158,0.3304951684997053
868,2024-02-06 03:00:00,TH_SP15_GEN-APND,SP15,43.31052,0.0,0.0,0.0,0.0
